title,variant,price,imgUrl,link,l1,l2,inviteId,modelId,final_1688_link,price judge,update date,itemid,最大价格,tag,共有model数
【制造商】【独家】Royal M79K 全盔带面罩，男女通用高级全盔摩托车头盔,亮黑色，L码（54厘米-56厘米）,39,https://cf.shopee.vn/file/vn-11134207-7ra0g-m7c23wxefxeg64,http://shopee.vn/product/473954625/22389644259,摩托车头盔及配件,,IVCN2025111479729,59775274561,相似款：https://detail.1688.com/offer/643638508927.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,P0,2026/3/15,22389644259,39,最后一周,3
【制造商】【独家】Royal M79K 全盔带面罩，男女通用高级全盔摩托车头盔,哑光黑，L码（54厘米-56厘米）,39,https://cf.shopee.vn/file/vn-11134207-7ra0g-m7c23ugc29h22e,http://shopee.vn/product/473954625/22389644259,摩托车头盔及配件,,IVCN2025111479729,222610093463,相似款：https://detail.1688.com/offer/643638508927.html?kj_agent_plugin=aliprice&fromkv=xytTrace:2,P0,2026/3/15,22389644259,39,,3
MIO 运动/微笑定制 COAK 发动机盖,图案 3，运动与里程,38.82,https://cf.shopee.ph/file/id-11134207-7r98u-m03252kqlq0f75,http://shopee.ph/product/1097650550/20185498094,摩托车零配件,车身及车架,IVCN202601156155,138778090356,无同款,P0,2026/3/15,20185498094,38.82,最后一周,1
EX5/EX5 DREAM/W100) SWIPOH 超级离合器 5+片离合器片壳体 1 套,EX5/EX5 DREAM/W100) SWIPOH 超级离合器 5+片离合器片壳体 1 套,38.73,https://cf.shopee.com.my/file/my-11134207-7r98t-lvcltbb7ly7w17,http://shopee.com.my/product/280241164/14355202533,摩托车零配件,传动系统、变速器和离合器,IVCN202508270993,160308344318,相似款：https://detail.1688.com/offer/702857453772.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,P1,2026/3/15,14355202533,38.73,最后一周,1
越野摩托车机油泵 CNC 高流量 raider Aerox NMAX Sniper Mio Sporty wave125 xrm rs125 click125/150,赛车机油泵 CNC，Mio 运动型,38.72,https://cf.shopee.ph/file/ph-11134207-7rase-m9k7emjcyc0xe8,http://shopee.ph/product/169498636/40250333566,摩托车零配件,燃油系统,IVCN2026011514562,224229334247,无同款,P0,2026/3/15,40250333566,38.72,最后一周,2
适用于小型摩托车的离合器衬片及离合器弹簧 XTZ XTZ125 XTZ 125（5片衬片和4个弹簧）,带弹簧的离合器衬片，XTZ125 XTZ,38.68,https://cf.shopee.ph/file/6a445d01a3a045437f385a5c93d72a69,http://shopee.ph/product/169498636/13657604191,摩托车零配件,传动系统、变速器和离合器,IVCN2025112515495,150570158062,相似款：https://detail.1688.com/offer/923615745086.html?spm=a26352.b28411319/2508.0.0https://detail.1688.com/offer/817076424413.html?spm=a26352.b28411319/2508.0.0&cosite=-&tracelog=p4p&_p_isad=1&clickid=80e5f74c31714089bc12577938b07e2f&sessionid=41237e55604aa055a7098f61214a99d3,P1,2026/3/15,13657604191,38.68,,1
迷你 C300 LED 投影大灯，H4 灯座，90W 功率，12-24V 电压，带激光辅助。,1 个带黄色装饰的 C300 灯泡,38.48,https://cf.shopee.vn/file/vn-11134207-820l4-micrrxr8tatd5b,http://shopee.vn/product/113442883/29435981740,摩托车零配件,灯光,IVCN2025121921535,440309547031,相似款：https://detail.1688.com/offer/953079571293.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,P1,2026/3/15,29435981740,38.64,,3
迷你 C300 LED 投影大灯，H4 灯座，90W 功率，12-24V 电压，带激光辅助。,1 个 C300 白色灯泡,38.64,https://cf.shopee.vn/file/vn-11134207-7ras8-mbg2hb9gh8ps76,http://shopee.vn/product/113442883/29435981740,摩托车零配件,灯光,IVCN2025121921535,280516719251,相似款：https://detail.1688.com/offer/953079571293.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i8&source=action%23offerItem%3Borigin%23cf.shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,P1,2026/3/15,29435981740,38.64,,3
适用于2023-2025款XMAX 300（新款）的后视镜。价格为一对。直接安装。XMAX 300智能互联后视镜（价格较高）。,适用于2023-2025款XMAX 300（新款）的后视镜。价格为一对。直接安装。XMAX 300智能互联后视镜（价格较高）。,38.59,https://cf.shopee.co.th/file/th-11134207-7r98t-lnigdyptu0q859,http://shopee.co.th/product/300666974/22985234486,摩托车配件,镜子及配件,IVCN202509153500,176189922440,https://detail.1688.com/offer/855637624344.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,P1,2026/3/15,22985234486,38.59,,1
HNJ A4-012-F (855) 摩托车全盔（单镜片）,纯白色，57-63厘米,38.57,https://cf.shopee.ph/file/ph-11134207-81ztc-mdy2ytb6kvsxb3,http://shopee.ph/product/507626228/18681189747,摩托车头盔及配件,,IVCN2025091213698,225341259533,https://detail.1688.com/offer/740449231257.html?kj_agent_plugin=aliprice&fromkv=xytTrace:213f867c17633469603408282e0fc0&token=WwAJxsm2slGqI7AFC9KtUiyLxxK2lhzwyTqtBOanlyJ7h3hgCHcaNUi9v4LXAK43,P1,2026/3/15,18681189747,38.57,最后一周,2
HNJ A4-012-F (855) 摩托车全盔（单镜片）,纯黑色，57-63厘米,24.12,https://cf.shopee.ph/file/ph-11134207-81ztq-mdy2uymqw93a4c,http://shopee.ph/product/507626228/18681189747,摩托车头盔及配件,,IVCN2025091213698,225341259534,相似款：https://detail.1688.com/offer/912121848579.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0b51056217612901720237653e0cf1&token=COzQitvHtZEBvir69WnxqvtPhtQrVVaZaW%2Fr7zuLdCBq8TpUEfRXb5pp8YGC%2Fn%2FH,P1,2026/3/15,18681189747,38.57,,2
迷你 H4 T93 110W 2026 投影式前大灯 - 超亮、聚焦光束 - 优美切割线 - 安装简便 - 超长质保,迷你 H4 T93 110W 2026 投影式前大灯 - 超亮、聚焦光束 - 优美切割线 - 安装简便 - 超长质保,38.56,https://cf.shopee.vn/file/vn-11134207-820l4-mhboazx5we1bc8,http://shopee.vn/product/766973286/52701885179,摩托车零配件,灯光,IVCN202601154331,445181718356,无同款,P0,2026/3/15,52701885179,38.56,最后一周,1
MONORACK NVX v1/v2 重型尾箱 GIVI 油箱 ABS 优质,MONORACK NVX v1,38.48,https://cf.shopee.com.my/file/my-11134207-7rasb-m12afdaihv5n00,http://shopee.com.my/product/230894337/29061994055,摩托车配件,盒子和箱子,IVCN2025112526726,195443359529,https://detail.1688.com/offer/712935378459.html?spm=a26352.b28411319/2508.0.0,P1,2026/3/15,29061994055,38.48,最后一周,1
适用于2018-2025年Vario/Click车型的Meca/Mica前大灯,适用于2018-2025年Vario/Click车型的Meca/Mica前大灯,38.47,https://cf.shopee.vn/file/vn-11134207-7r98o-lz23rzikuudp6e,http://shopee.vn/product/405351538/9688959371,摩托车零配件,灯光,IVCN2025112514470,76896578266,相似款：https://detail.1688.com/offer/930087887450.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,P1,2026/3/15,9688959371,38.47,,1
Motowolf 手机支架 v4 防盗减震 CP 支架 360° 旋转，带 GoPro 相机支架,V4 后视镜无充电器,38.4,https://cf.shopee.ph/file/ph-11134207-7rask-m987y2j5l5zha9,http://shopee.ph/product/1530948219/28485669739,摩托车配件,手机支架,IVCN202601156817,206057047859,https://detail.1688.com/offer/979758831659.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i16&source=action%23offerItem%3Borigin%23shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,P1,2026/3/15,28485669739,38.4,最后一周,1
Zontes 368G 儿童座椅垫，适用于儿童座椅，舒适座椅，电机座椅垫，儿童座椅垫，适用于 ZONTES 368G,Zontes 368G 儿童座椅垫，适用于儿童座椅，舒适座椅，电机座椅垫，儿童座椅垫，适用于 ZONTES 368G,38.33,https://cf.shopee.com.my/file/sg-11134202-7rd3t-m7ri04ry2ybx02,http://shopee.com.my/product/4101737/27030762163,摩托车配件,座椅及座椅套,IVCN2025112531320,257983240657,相似款：https://detail.1688.com/offer/806486595743.html?spm=a26352.b28411319/2508.0.0,P1,2026/3/15,27030762163,38.33,最后一周,1
适用于 Wave RS/RSX/S100/S110/Alpha、Future 2/X/Neo、Dream 110 (2016) 的 DID 链​​条和链轮套装（10mm 链条）428HDN-106L，14T-36T,适用于 Wave RS/RSX/S100/S110/Alpha、Future 2/X/Neo、Dream 110 (2016) 的 DID 链​​条和链轮套装（10mm 链条）428HDN-106L，14T-36T,38.23,https://cf.shopee.vn/file/vn-11134207-7qukw-lfkzjqndgghw21,http://shopee.vn/product/238374681/7947398198,摩托车零配件,传动系统、变速器和离合器,IVCN2025111453895,30658190086,无同款,P0,2026/3/15,7947398198,38.23,,1
无钥匙遥控钥匙 - 备用遥控钥匙 NVX XMAX Y16 NVX V1 v2 V3 Xmax Y16ZR ABS,无钥匙遥控钥匙 - 备用遥控钥匙 NVX XMAX Y16 NVX V1 v2 V3 Xmax Y16ZR ABS,38.19,https://cf.shopee.com.my/file/sg-11134201-822y7-mi35hdhuwlqa87,http://shopee.com.my/product/240723972/26587657272,摩托车配件,其他的,IVCN2025112532028,275404358207,https://detail.1688.com/offer/908878960514.html?kj_agent_plugin=aliprice&fromkv=xytTrace:213f867c17648466534448259e0e30&token=zk3Xge9mQ%2Bx%2FfF6wxdgQJMf0Gc9T65xZCftC%2F9C5bnHjpRh0uafwxkHFuZfS42wH,P1,2026/3/15,26587657272,38.19,,1
K&N KN 204 (KN-204-1) 机油滤清器，适用于本田/雅马哈/凯旋摩托车。,K&N KN 204 (KN-204-1) 机油滤清器，适用于本田/雅马哈/凯旋摩托车。,38.18,https://cf.shopee.vn/file/c5c64c173df5d69412667dc6e38a2a26,http://shopee.vn/product/43761674/7839680797,摩托车零配件,其他的,IVCN2025112514304,60100327918,https://detail.1688.com/offer/907747760780.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i1&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982https://detail.1688.com/offer/896529231307.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,P1,2026/3/15,7839680797,38.18,最后一周,1
HNJ A4-006-H 半盔双镜片摩托车头盔,白色，L码：59-60厘米,38.16,https://cf.shopee.ph/file/ph-11134207-7rasa-m7q5rueih16h87,http://shopee.ph/product/507626228/26880656320,摩托车头盔及配件,,IVCN2025111480335,227564052205,相似款：https://detail.1688.com/offer/891577928127.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i2&source=action%23offerItem%3Borigin%23cf.shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,P1,2026/3/15,26880656320,38.16,最后一周,3
HNJ A4-006-H 半盔双镜片摩托车头盔,本田灰色，M码：57-58厘米,16.68,https://cf.shopee.ph/file/ph-11134207-7rasf-m7q5r08sluam5c,http://shopee.ph/product/507626228/26880656320,摩托车头盔及配件,,IVCN2025111480335,227564052186,相似款：https://detail.1688.com/offer/891577928127.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i2&source=action%23offerItem%3Borigin%23cf.shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,P1,2026/3/15,26880656320,38.16,最后一周,3
EVAN.COM Motospeed 适用于雅马哈 Mio i125/M3/GEAR 摩托车的平座 #1802,我的 i-CARBON,38.12,https://cf.shopee.ph/file/ph-11134207-7ra0g-mc7ew315uymoa5,http://shopee.ph/product/405788709/8576927436,摩托车配件,座椅及座椅套,IVCN2025112523402,125438220746,相似款：https://detail.1688.com/offer/719252628278.html?spm=a26352.b28411319/2508.0.0,P1,2026/3/15,8576927436,38.12,,1
【原装】OKO 化油器 平侧 26mm 28mm 30mm 台湾制造,OKO 28毫米,38.08,https://cf.shopee.ph/file/ph-11134207-7qul9-lj6rmx1fmzq429,http://shopee.ph/product/207419550/22825444634,摩托车零配件,燃油系统,IVCN2025111480977,230995208576,相似款：https://detail.1688.com/offer/990890030219.html?fromkv=cbuPcPlugin%3AimageSearchDrawerCard&spm=a2639h.29135425.offerlist.i3&source=action%23offerItem%3Borigin%23shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982&version=default,P1,2026/3/15,22825444634,38.08,,1
SC CIAM CNC 车把套装，适用于 Raider 150 化油器（11 件套）,11件套,38.06,https://cf.shopee.ph/file/ph-11134207-7r98x-lolej7youtpi51,http://shopee.ph/product/1124110968/24152055912,摩托车零配件,其他的,IVCN2025073024213,225842963488,无同款,P0,2026/3/15,24152055912,38.06,,1
适用于 Vision 2021-2025 的奥迪风格 LED 尾灯组件，可通过智能手机应用程序调节 LED 面板效果，6 个月保修。,适用于 Vision 2021-2025 的奥迪风格 LED 尾灯组件，可通过智能手机应用程序调节 LED 面板效果，6 个月保修。,38,https://cf.shopee.vn/file/vn-11134207-7ras8-mc05az6uhpbm6d,http://shopee.vn/product/156654434/24589622883,摩托车配件,其他的,IVCN2025112519033,242292127887,https://detail.1688.com/offer/641842656499.html?kj_agent_plugin=aliprice&fromkv=xytTrace:213f867c17646431037584903e0d29&token=%2BTK28yBiPn7c4iZh28Bdvc9zoCSAVlFrAQzDf%2BAshRkD3K9mCdf%2B0iQAnbi7qnqZ,P0,2026/3/15,24589622883,38,,1
SPD，MORITECH RIM 1.85、2.15、2.50、3.00、3.5、4.25 x 17,黑色，SPD 2.50X17,37.91,https://cf.shopee.ph/file/6411167a24b954517b8f32eda7c02d4b,http://shopee.ph/product/270043243/9535234353,摩托车零配件,车轮、轮辋及配件,IVCN202508274417,81318343319,品牌侵权,P0,2026/3/15,9535234353,37.91,,7
SPD，MORITECH RIM 1.85、2.15、2.50、3.00、3.5、4.25 x 17,银色，SPD 2.15X17,19.85,https://cf.shopee.ph/file/eaa2c8de4fe3a350eea173065a4ab063,http://shopee.ph/product/270043243/9535234353,摩托车零配件,车轮、轮辋及配件,IVCN202508274417,81318343320,品牌侵权,P1,2026/3/15,9535234353,37.91,,7
☑️CNC 轴 MIO/AEROX/NMAX/RAIDER/WAVE125/CLICK/PCX/XMAX,WAVE XRM +2 20-25厘米,37.86,https://cf.shopee.ph/file/8dc87490dc26754fd46671d5153db628,http://shopee.ph/product/107482612/9919593846,摩托车零配件,其他的,IVCN202512193211,105887063116,无同款,P0,2026/3/15,9919593846,37.86,最后一周,1
Gogo Dibao Cross电动滑板车面罩,白色的,37.86,https://cf.shopee.vn/file/vn-11134207-7ra0g-maf405460hxd75,http://shopee.vn/product/831554181/19993520887,摩托车零配件,其他的,IVCN2025112526874,197058520331,无同款,P0,2026/3/15,19993520887,37.86,,1
碟刹转换支架，由 DHON Thai Parts 提供,Barako175（220毫米）,37.84,https://cf.shopee.ph/file/f2bff5b5a9a55c58bfc0c5886ff90ff6,http://shopee.ph/product/312155518/4387844824,摩托车零配件,制动系统,IVCN202601157669,82614021490,无同款,P0,2026/3/15,4387844824,37.84,,2
Y15 y15zr fz150 后刹车卡钳带后支架，原装越南产 YAMAHA Y16 Y15 刹车泵 BUNGA KALIPER PAD DISC,Y15 y15zr fz150 后刹车卡钳带后支架，原装越南产 YAMAHA Y16 Y15 刹车泵 BUNGA KALIPER PAD DISC,37.82,https://cf.shopee.com.my/file/sg-11134202-7rdx4-ly1vdlcy0j8md2,http://shopee.com.my/product/1013156838/24082492996,摩托车零配件,制动系统,IVCN2025112530752,251057084764,相似款：https://detail.1688.com/offer/628827296769.html?kj_agent_plugin=aliprice&fromkv=xytTrace:21080f7717652732872365204e16ea&token=eFTXBzQ8JojEeBt9qTA1C6t1MrxWxgyr6hWWQDXaHQcv2rE2eA3hFA0I2kqhL1I2,P1,2026/3/15,24082492996,37.82,,1
NMAX V1 速度表盖碳纤维,NMAX V1 速度表盖碳纤维,37.82,https://cf.shopee.ph/file/ph-11134207-7rasl-m9di306x3qmlc8,http://shopee.ph/product/274379476/17577748046,摩托车配件,速度表、里程表和仪表,IVCN2025073021315,38911977892,无同款,P1,2026/3/15,17577748046,37.82,最后一周,1
无钥匙遥控钥匙 - 备用遥控钥匙 NVX NMAX XMAX Y16 NVX V1 v2 V3 Xmax Y16ZR ABS B74-H6261-02,无钥匙遥控钥匙 - 备用遥控钥匙 NVX NMAX XMAX Y16 NVX V1 v2 V3 Xmax Y16ZR ABS B74-H6261-02,37.75,https://cf.shopee.com.my/file/sg-11134201-822ww-mi34k2seh348e6,http://shopee.com.my/product/399388347/26390919044,摩托车配件,锁具与安防,IVCN2025111478859,216242016306,相似款：https://detail.1688.com/offer/861357148658.html?spm=a26352.b28411319.offerlist.26.72f51e62bxdPY6,P1,2026/3/15,26390919044,37.75,,1
Nmax V3 Turbo 脚垫，含全套螺栓螺母，CNC铝合金材质,银,37.64,https://cf.shopee.ph/file/ph-11134207-7ra0l-mckexmtrxi7ie4,http://shopee.ph/product/50101186/41259988792,摩托车零配件,车身及车架,IVCN2025112528032,216175802160,https://detail.1688.com/offer/711733335592.html?kj_agent_plugin=aliprice&fromkv=xytTrace%3A212b9de517655308415018569e17b2&token=Nf30hB%2FkHe1VwIVHyNbwgfllu7RCduVaLXxmCGelMyk7DEoU1XF3CXxjhPxQC5jn&tracelog=cps&clickid=921cc051cdb485750849c653ad5e1f6a&targetUrl=https%3A%2F%2Fs.click.1688.com%2Ft%3Fe%3DD2DC7A927D55C03D6511A0CCA913FD65D6FA062685DFF8F7D920A558D1D5758C4B369BE324A83E744B8F19128B0D93E33FB8088B45F57B9E47F28FD2CC0E231B18AD4F779334558760FEF997084D4D5331EB6FC8DBCADED4C6C8CEEEE21320CC4BD39EA2FE12E3B19876016147AF89DB0B7BA233259DECF645BC881FC75E93213250DC9869E8DA58348394BC3CC3C62B9992F8828C4BE8929F83F4D065CC0CD5902189DB3A4DDA8A7E7225F423221BB2AADB1FC08D02B994E83800E6526E3A30B7E9482BCEADA2FF83E740A600CEF788EF75CBB259DCC90CC1D73C5F58170ADA4B842A4F67C0A8B4D0C47C58BFC27396%26cbu_cps_trace_flag%3Dwrite,P1,2026/3/15,41259988792,37.64,,1
适用于2018-2024款Vario Click的云母色前大灯罩,斯坦利印尼,37.62,https://cf.shopee.vn/file/vn-11134207-7ra0g-m9s75unzxwtq95,http://shopee.vn/product/333736610/4962082108,摩托车零配件,灯光,IVCN202601154345,253421496451,相似款：https://detail.1688.com/offer/930087887450.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i6&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,P1,2026/3/15,4962082108,37.62,最后一周,1
适用于Sudqo PWK 24mm / 26mm / 28mm / 30mm / 32mm / 34mm的带全节气门体的平节气门化油器。适用于Dream、Wave、Sirius等品牌的ATE Oko平节气门化油器。,Keihin-b-24mm,37.58,https://cf.shopee.vn/file/vn-11134207-7qukw-lhy5z0669bphdd,http://shopee.vn/product/991256640/18979450847,摩托车零配件,燃油系统,IVCN2025112514645,225309801435,https://detail.1688.com/offer/832061333281.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0b51056217642994975432407e0c3b&token=Sl%2FId51dTWXtUMDkgwVHqOq44jNVY7TE1PXB84QsXvWF%2Fl7KHfsiNlkqWH70a5WY,P1,2026/3/15,18979450847,37.58,,5
适用于Sudqo PWK 24mm / 26mm / 28mm / 30mm / 32mm / 34mm的带全节气门体的平节气门化油器。适用于Dream、Wave、Sirius等品牌的ATE Oko平节气门化油器。,新！！Kenada-b-28mm,34.47,https://cf.shopee.vn/file/cn-11134207-7r98o-ln0v72e46j6l18,http://shopee.vn/product/991256640/18979450847,摩托车零配件,燃油系统,IVCN2025112514645,232144123180,https://detail.1688.com/offer/954520403272.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i1&source=action%23offerItem%3Borigin%23cf.shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,P1,2026/3/15,18979450847,37.58,最后一周,5
适用于Sudqo PWK 24mm / 26mm / 28mm / 30mm / 32mm / 34mm的带全节气门体的平节气门化油器。适用于Dream、Wave、Sirius等品牌的ATE Oko平节气门化油器。,接近 28 毫米,26.37,https://cf.shopee.vn/file/vn-11134207-7qukw-lgdbofnm6bqv89,http://shopee.vn/product/991256640/18979450847,摩托车零配件,燃油系统,IVCN2025112514645,235172435209,https://detail.1688.com/offer/832061333281.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0b51056217642994975432407e0c3b&token=Sl%2FId51dTWXtUMDkgwVHqOq44jNVY7TE1PXB84QsXvWF%2Fl7KHfsiNlkqWH70a5WY,P1,2026/3/15,18979450847,37.58,,5
🔥本地现货🔥GY6 150CC 200CC 250CC 踏板摩托车/轻便摩托车/沙滩车/卡丁车/越野车化油器,🔥本地现货🔥GY6 150CC 200CC 250CC 踏板摩托车/轻便摩托车/沙滩车/卡丁车/越野车化油器,37.54,https://cf.shopee.com.my/file/my-11134207-7ras8-m4rjif7psnax4a,http://shopee.com.my/product/372096470/9052473277,摩托车零配件,燃油系统,IVCN202512193031,81864856920,https://detail.1688.com/offer/684543385915.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0bab14ad17664754742961838e0ef0&token=e%2FBu8Wc1Q1AdpYQt7RcakfidJVoSvuGgPIWAhFXFfbyLxzeaQUZSNvkRtUFegOhx,P1,2026/3/15,9052473277,37.54,最后一周,1
YAMAHA Y15 LC135 RS150 RSX150 FUEL TANK MINYAK TANKI 7 LITER 6.5L 5L KINGDRAG 现货,LC135，5升,37.46,https://cf.shopee.com.my/file/my-11134207-820l8-mj5dpu88koar07,http://shopee.com.my/product/230894337/3165869989,摩托车零配件,燃油系统,IVCN2026011514808,245778750898,https://detail.1688.com/offer/876330854411.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,P1,2026/3/15,3165869989,37.46,最后一周,1
（货到付款）通用型 OKO 赛车扁平化油器 - 尺寸：24mm、26mm、28mm、30mm、32mm,30毫米,37.4,https://cf.shopee.ph/file/ph-11134207-7qul3-ljp0cisms8rw0d,http://shopee.ph/product/627180156/23449567530,摩托车零配件,燃油系统,IVCN2025073021439,221853236491,相似款：https://detail.1688.com/offer/755906133015.html?spm=a26352.b28411319.offerlist.178.26b81e62B2410Q,P1,2026/3/15,23449567530,37.4,最后一周,1
SC CIAM CNC 曲轴箱螺栓套装，适用于 WAVE100 / WAVE110,SC CIAM CNC 曲轴箱螺栓套装，适用于 WAVE100 / WAVE110,37.28,https://cf.shopee.ph/file/ph-11134207-7r98s-lonnqvfy514g63,http://shopee.ph/product/1124110968/24402199280,摩托车零配件,其他的,IVCN2026011516700,128803607615,无同款,P0,2026/3/15,24402199280,37.28,,1
RAIDER 150 电喷和化油器型。中置和侧置支架，不锈钢材质。,突击队化油器,29,https://cf.shopee.ph/file/ph-11134207-7rask-m71o32j2m1zp17,http://shopee.ph/product/391758817/28954993069,摩托车零配件,车身及车架,IVCN2025112523544,128243487727,相似款：https://detail.1688.com/offer/966877758154.html?spm=a26352.b28411319/2508.0.0,P0,2026/3/15,28954993069,37.26,,2
RAIDER 150 电喷和化油器型。中置和侧置支架，不锈钢材质。,仅限 RFI 中心,37.26,https://cf.shopee.ph/file/ph-11134207-7rash-m8650iqhg8rlc7,http://shopee.ph/product/391758817/28954993069,摩托车零配件,车身及车架,IVCN2025112523544,195953385315,https://detail.1688.com/offer/974532580139.html?kj_agent_plugin=aliprice&fromkv=xytTrace:2108837b17657900467887950e0d6e&token=S79Po7EmsYJ7MMhFPufJNNBr9KPtz8lDe6lPvLjMy25lLEOIeHVwsGnQTxK0qJ1X,P1,2026/3/15,28954993069,37.26,,2
原装 Senlo X1GTS 高级矩阵式驾驶灯 80W 照明功率（6 个月保修）,X1GTS,37.26,https://cf.shopee.ph/file/sg-11134201-7rasw-maxwen6lnyar12,http://shopee.ph/product/385890971/28232534424,摩托车零配件,灯光,IVCN2025112530168,243113190167,相似款：https://detail.1688.com/offer/987911215848.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i1&source=action%23offerItem%3Borigin%23shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,P0,2026/3/15,28232534424,37.26,最后一周,3
雅马哈 Y16ZR V2 ABS 碳纤维黑色整流罩风挡，带橡胶套件，适用于 EXCITER 155 风挡 Y16 头盔,碳,37.2,https://cf.shopee.ph/file/my-11134207-7r98w-lz6v9aoapxt560,http://shopee.ph/product/1231063881/29626209834,摩托车零配件,车身及车架,IVCN202509125210,166966961620,https://detail.1688.com/offer/681510794043.html?kj_agent_plugin=aliprice&fromkv=xytTrace:21360a2e17678705004572392e0eaf&token=uRy3xfojEuhv6aRNzY3cv%2BGsiiCA%2B94FPzMd3ETIt9xiqefQqADqWNp0xJAh2eFs,P1,2026/3/15,29626209834,37.2,最后一周,2
雅马哈 Y16ZR V2 ABS 碳纤维黑色整流罩风挡，带橡胶套件，适用于 EXCITER 155 风挡 Y16 头盔,黑色的,23.23,https://cf.shopee.ph/file/my-11134207-7r98v-lz6v7t8wxze1c1,http://shopee.ph/product/1231063881/29626209834,摩托车零配件,车身及车架,IVCN202509125210,159016706148,https://detail.1688.com/offer/764033798090.html?spm=a26352.b28411319.offerlist.79.3a911e62EO133t,P1,2026/3/15,29626209834,37.2,最后一周,2
适用于 Beat/Click125/Click150/Vario 150/Nmax/Aerox 的 King of drag 260mm 碟片及支架,Blackgold、Nmax/Aerox 3孔,24.02,https://cf.shopee.ph/file/ph-11134207-7ras8-m4e43x7siga364,http://shopee.ph/product/771323223/24989970729,摩托车零配件,制动系统,IVCN202508271511,89785237763,相似款：https://detail.1688.com/offer/893668509432.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i2&source=action%23offerItem%3Borigin%23cf.shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,P1,2026/3/15,24989970729,37.17,最后一周,9
适用于 Beat/Click125/Click150/Vario 150/Nmax/Aerox 的 King of drag 260mm 碟片及支架,黑紫色，Click125/beat4HOLes,23.89,https://cf.shopee.ph/file/ph-11134207-7rasg-m71opax79atn0d,http://shopee.ph/product/771323223/24989970729,摩托车零配件,制动系统,IVCN202508271511,149054249650,相似款：https://detail.1688.com/offer/893668509432.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i2&source=action%23offerItem%3Borigin%23cf.shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,P1,2026/3/15,24989970729,37.17,最后一周,9
适用于 Beat/Click125/Click150/Vario 150/Nmax/Aerox 的 King of drag 260mm 碟片及支架,Blackgold，Click125/beat4HOLes,23.75,https://cf.shopee.ph/file/ph-11134207-7ras8-m4e43x7siga364,http://shopee.ph/product/771323223/24989970729,摩托车零配件,制动系统,IVCN202508271511,252756339462,相似款：https://detail.1688.com/offer/893668509432.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i2&source=action%23offerItem%3Borigin%23cf.shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,P1,2026/3/15,24989970729,37.17,最后一周,9
